Qty,Part,Link,Price,Total
1,Adafruit Feather M0 Adalogger,https://www.adafruit.com/product/2796,$19.95,$19.95
1,Lithium Ion Battery Pack - 3.7V 6600mAh,https://www.adafruit.com/product/353,$29.50,$29.50
1,Adafruit FeatherWing OLED - 128x32 OLEDÊ,https://www.adafruit.com/product/2900,$14.95,$14.95
1,Short Headers Kit for Feather - 12-pin + 16-pin Female Headers,https://www.adafruit.com/product/2940,$1.50,$1.50
2,1k resistor,any brand or supplier will do,$0.20,$0.40
2,Photo Interrupter - GP1A57HRJ00F,https://www.sparkfun.com/products/9299,$2.50,$5.00
2,SparkFun Photo Interrupter Breakout Board - GP1A57HRJ00F,https://www.sparkfun.com/products/9322,$1.50,$3.00
1,MicroSD card,https://www.amazon.com/Kingston-microSDHC-Class-Memory-SDC4/dp/B00200K1TS/,$6.00,$6.00
2,JST cable,https://www.sparkfun.com/products/9915,$1.50,$3.00
2,Plastic valves,https://labproductsinc.com/product/hydropac-alternative-watering-system/,$0.50,$1.00
2,10mL syringes,https://www.amazon.com/dp/B01JJYDFHM,$0.50,$1.00
,,,,
Total,,,,$85.30
,,,,
